OID_;ID;x_coord;y_coord;xy_coord;RASTERVALU;b1_ms170_1;b2_ms170_1;b3_ms170_1;b4_ms170_1;b1_ms1707s1_interp;b2_ms1707s1_interp;b3_ms1707s1_interp;b4_ms1707s1_interp,,,,,,
377;377;30,071041662199999;-22,323708328900000;30.0710416622224 -22.32370832888912;335;335;304;272;476;336,5003052;306,4996643;277,2480774;477,15869
378;378;30,071055551099999;-22,323708328900000;30.071055551111286 -22.32370832888912;340;340;309;277;485;336,5028687;305,7528687;276,2512817;477,2560730
379;379;30,073416662200000;-22,323402773300000;30.073416662222417 -22.32340277333356;375;375;333;324;502;362,7557678;318,7567139;306,0086365;481,7596130
380;380;30,073430551100000;-22,323402773300000;30.073430551111308 -22.32340277333356;373;373;330;321;505;363,0054321;319,0060730;307,0076904;487,5096130
381;381;30,073444439999999;-22,323402773300000;30.073444440000195 -22.32340277333356;366;366;323;313;498;364,7496948;321,0000000;310,7496948;494,5000000
382;382;30,073458328899999;-22,323402773300000;30.073458328889085 -22.32340277333356;370;370;327;319;507;381,2407227;338,7400818;333,9875183;524,9852905
383;383;30,073416662200000;-22,323416662200000;30.073416662222417 -22.32341666222245;346;346;300;282;448;357,9929504;313,2423096;297,2410278;466,2391052
384;384;30,073430551100000;-22,323416662200000;30.073430551111308 -22.32341666222245;357;357;312;297;472;361,4974365;317,2467957;303,2461548;477,7467957
385;385;30,073444439999999;-22,323416662200000;30.073444440000195 -22.32341666222245;356;356;311;297;475;366,9923096;323,4913635;312,7391357;491,2388000
386;386;30,073458328899999;-22,323416662200000;30.073458328889085 -22.32341666222245;367;367;323;314;498;391,7327271;350,4808044;347,7263184;535,4734497
387;387;30,073416662200000;-22,323430551100000;30.073416662222417 -22.323430551111336;361;361;317;300;463;367,9967957;325,4958496;309,4955139;473,4955139
388;388;30,073430551100000;-22,323430551100000;30.073430551111308 -22.323430551111336;368;368;324;310;482;370,4967957;328,4955139;314,7448730;483,2467957
389;389;30,073444439999999;-22,323430551100000;30.073444440000195 -22.323430551111336;365;365;322;309;482;380,7388000;339,9872131;331,2340088;504,2336731
390;390;30,073458328899999;-22,323430551100000;30.073458328889085 -22.323430551111336;380;380;338;331;510;409,7314453;371,7288818;372,4740906;555,4718628
391;391;30,073416662200000;-22,323444439999999;30.073416662222417 -22.323444440000227;372;372;331;314;472;363,7547913;323,0047913;303,5060730;456,5092773
392;392;30,073430551100000;-22,323444439999999;30.073430551111308 -22.323444440000227;371;371;330;314;477;373,7442322;333,9929504;319,2410583;477,9926453
393;393;30,073444439999999;-22,323444439999999;30.073444440000195 -22.323444440000227;378;378;338;326;492;397,4855957;360,2336731;354,2295227;520,7288818
394;394;30,073458328899999;-22,323444439999999;30.073458328889085 -22.323444440000227;400;400;362;359;533;426,2359314;391,7340088;395,7298279;571,4794922
395;395;30,074638884399999;-22,323416662200000;30.07463888444465 -22.32341666222245;401;401;373;400;529;412,9929504;385,4926453;413,4923096;547,4891357
396;396;30,074652773299999;-22,323416662200000;30.07465277333354 -22.32341666222245;400;400;371;396;525;400,5012817;371,2515869;393,7535095;525,7522583
397;397;30,074666662199999;-22,323416662200000;30.074666662222427 -22.32341666222245;383;383;352;370;497;382,9987183;351,4990540;366,7506409;496,4984131
398;398;30,074680551099998;-22,323416662200000;30.074680551111317 -22.32341666222245;366;366;333;344;469;374,2442322;340,9942322;351,2445679;480,9913635
399;399;30,074694439999998;-22,323416662200000;30.074694440000204 -22.32341666222245;360;360;325;332;457;374,4923096;340,7416687;348,4916687;480,2378540
400;400;30,074708328900002;-22,323416662200000;30.074708328889095 -22.32341666222245;370;370;336;343;473;373,4993591;340,2490540;344,2512817;478,2493591
401;401;30,074638884399999;-22,323430551100000;30.07463888444465 -22.323430551111336;428;428;402;434;573;420,7551270;394,0057678;421,7583313;560,7586670
402;402;30,074652773299999;-22,323430551100000;30.07465277333354 -22.323430551111336;423;423;396;424;563;407,5076904;378,7586365;401,0118408;537,7625122
403;403;30,074666662199999;-22,323430551100000;30.074666662222427 -22.323430551111336;396;396;366;385;518;395,9980774;365,2484131;381,7493591;517,4974365
404;404;30,074680551099998;-22,323430551100000;30.074680551111317 -22.323430551111336;387;387;355;368;502;393,9948730;362,2445679;375,4942322;512,9916992
405;405;30,074694439999998;-22,323430551100000;30.074694440000204 -22.323430551111336;384;384;351;361;496;391,2467957;358,9964905;368,9967957;507,7448730
406;406;30,074708328900002;-22,323430551100000;30.074708328889095 -22.323430551111336;384;384;351;358;495;381,0032043;348,2532043;352,5051270;490,2551270
407;407;30,074638884399999;-22,323444439999999;30.07463888444465 -22.323444440000227;420;420;394;421;561;409,2564087;382,0073547;404,7599182;542,5111694
408;408;30,074652773299999;-22,323444439999999;30.07465277333354 -22.323444440000227;412;412;384;408;546;401,5054321;372,2560730;391,2589722;528,2592773
409;409;30,074666662199999;-22,323444439999999;30.074666662222427 -22.323444440000227;399;399;369;387;524;398,9996948;368,7496948;384,5009460;522,7500000
410;410;30,074680551099998;-22,323444439999999;30.074680551111317 -22.323444440000227;402;402;371;387;526;401,9996948;371,2496948;385,5006409;526,4993896
411;411;30,074694439999998;-22,323444439999999;30.074694440000204 -22.323444440000227;403;403;372;386;528;399,2519226;367,7522278;379,0038452;521,5031738
412;412;30,074708328900002;-22,323444439999999;30.074708328889095 -22.323444440000227;394;394;362;371;512;386,5041504;354,2541504;359,7560730;500,2564087
413;413;30,074638884399999;-22,323458328899999;30.07463888444465 -22.323458328889114;405;405;379;400;537;395,5057678;367,7567139;385,0089722;520,5099487
414;414;30,074652773299999;-22,323458328899999;30.07465277333354 -22.323458328889114;400;400;371;390;526;391,7547913;362,2551270;377,2573547;512,7576904
415;415;30,074666662199999;-22,323458328899999;30.074666662222427 -22.323458328889114;395;395;365;380;517;392,5015869;362,2519226;375,0035095;512,7528687
416;416;30,074680551099998;-22,323458328899999;30.074680551111317 -22.323458328889114;400;400;370;384;524;397,2512817;366,0022278;377,7535095;519,25635
417;417;30,074694439999998;-22,323458328899999;30.074694440000204 -22.323458328889114;403;403;372;385;528;398,7512817;367,0012817;377,2525635;521,18921
418;418;30,074708328900002;-22,323458328899999;30.074708328889095 -22.323458328889114;397;397;365;374;518;391,5025635;360,0022278;366,7532043;510,32043
419;419;30,074638884399999;-22,323472217799999;30.07463888444465 -22.323472217778004;390;390;363;378;513;381,5047913;353,2554321;365,0073547;497,2589722
420;420;30,074652773299999;-22,323472217799999;30.07465277333354 -22.323472217778004;387;387;358;372;506;380,7535095;351,0041504;362,0057678;494,5067139
421;421;30,074666662199999;-22,323472217799999;30.074666662222427 -22.323472217778004;385;385;355;367;502;383,5006409;352,7509460;362,5022278;497,5022278
422;422;30,074680551099998;-22,323472217799999;30.074680551111317 -22.323472217778004;390;390;359;369;508;390,7487183;358,9990540;368,4990540;507,7487183
423;423;30,074694439999998;-22,323472217799999;30.074694440000204 -22.323472217778004;396;396;363;373;516;399,7455139;368,2445679;378,4939270;522,2426147
424;424;30,074708328900002;-22,323472217799999;30.074708328889095 -22.323472217778004;399;399;368;377;522;399,4996948;368,9993591;377,9993591;523,4990234
425;425;30,074916662200000;-22,323347217799999;30.074916662222428 -22.323347217778004;378;378;341;345;506;370,2560730;331,7570496;332,7592773;490,7615051
426;426;30,074930551100000;-22,323347217799999;30.07493055111132 -22.323347217778004;380;380;343;347;512;367,2586365;330,0089722;331,0108643;490,5147095
427;427;30,074944439999999;-22,323347217799999;30.074944440000206 -22.323347217778004;377;377;343;348;514;364,5070496;330,0073547;332,5086365;492,2624817
428;428;30,074958328899999;-22,323347217799999;30.074958328889096 -22.323347217778004;373;373;342;348;514;368,5015869;337,2515869;343,2512817;504,7538452
429;429;30,074972217799999;-22,323347217799999;30.074972217777987 -22.323347217778004;378;378;350;360;528;381,9958496;354,2455139;366,7435913;531,9948730
430;430;30,074986106699999;-22,323347217799999;30.074986106666874 -22.323347217778004;391;391;366;383;554;389,7500000;364,7496948;383,4984131;549,15869
431;431;30,074999995599999;-22,323347217799999;30.074999995555764 -22.323347217778004;386;386;362;383;549;386,4987183;363,4977722;386,2464905;547,7490234
432;432;30,075013884400001;-22,323347217799999;30.07501388444465 -22.323347217778004;379;379;356;380;541;389,9913635;369,4897766;397,9865723;557,9865723
433;433;30,074916662200000;-22,323361106699998;30.074916662222428 -22.32336110666689;364;364;324;323;475;355,7551270;314,2560730;310,5076904;459,2599182
434;434;30,074930551100000;-22,323361106699998;30.07493055111132 -22.32336110666689;359;359;319;316;470;351,2544861;311,2541504;307,5044861;456,2579956
435;435;30,074944439999999;-22,323361106699998;30.074944440000206 -22.32336110666689;353;353;315;313;466;350,7509460;313,7503052;312,4996948;461,2522278
436;436;30,074958328899999;-22,323361106699998;30.074958328889096 -22.32336110666689;355;355;320;321;475;359,4967957;325,9958496;329,2445679;480,9958496
437;437;30,074972217799999;-22,323361106699998;30.074972217777987 -22.32336110666689;368;368;337;344;502;377,4942322;347,9932861;358,7407227;515,4916992
438;438;30,074986106699999;-22,323361106699998;30.074986106666874 -22.32336110666689;391;391;364;380;544;390,2493591;364,4984131;382,4971313;541,2500000
439;439;30,074999995599999;-22,323361106699998;30.074999995555764 -22.32336110666689;391;391;367;388;549;393,4971313;371,2458496;394,4939270;551,4961548
440;440;30,075013884400001;-22,323361106699998;30.07501388444465 -22.32336110666689;390;390;369;394;552;404,7394409;385,9878540;416,7340088;574,7337036
441;441;30,074916662200000;-22,323374995599998;30.074916662222428 -22.32337499555578;352;352;309;304;448;350,4993591;307,4990540;302,2487183;444,0
442;442;30,074930551100000;-22,323374995599998;30.07493055111132 -22.32337499555578;348;348;305;299;444;351,7461548;310,9948730;307,4929504;449,7442322
443;443;30,074944439999999;-22,323374995599998;30.074944440000206 -22.32337499555578;345;345;306;302;445;353,9948730;316,4939270;316,2416687;458,7423096
444;444;30,074958328899999;-22,323374995599998;30.074958328889096 -22.32337499555578;350;350;314;314;459;360,7445679;326,4935913;330,2413635;474,9920044
445;445;30,074972217799999;-22,323374995599998;30.074972217777987 -22.32337499555578;365;365;333;338;488;373,7461548;343,4948730;353,4923096;501,7439270
446;446;30,074986106699999;-22,323374995599998;30.074986106666874 -22.32337499555578;386;386;358;373;528;386,4987183;360,2477722;377,4958496;527,9984131
447;447;30,074999995599999;-22,323374995599998;30.074999995555764 -22.32337499555578;393;393;369;389;544;396,9961548;374,7448730;398,9920044;549,9942627
448;448;30,075013884400001;-22,323374995599998;30.07501388444465 -22.32337499555578;400;400;380;407;561;413,7413635;395,9897461;428,9859314;582,4862671
449;449;30,074916662200000;-22,323388884400000;30.074916662222428 -22.32338888444467;348;348;304;298;436;353,9945679;310,9939270;306,9920044;443,9923096
450;450;30,074930551100000;-22,323388884400000;30.07493055111132 -22.32338888444467;354;354;312;308;448;364,4920044;324,2407227;324,7375183;464,2375183
451;451;30,074944439999999;-22,323388884400000;30.074944440000206 -22.32338888444467;360;360;321;321;462;367,2471313;330,2458496;333,9939270;473,4955139
452;452;30,074958328899999;-22,323388884400000;30.074958328889096 -22.32338888444467;361;361;325;328;469;365,4987183;331,2477722;336,9964905;475,7484131
453;453;30,074972217799999;-22,323388884400000;30.074972217777987 -22.32338888444467;367;367;334;341;484;369,9987183;338,9977722;348,9958496;488,4984131
